words1	words2	freq.w1	freq.w2	obs.w1_2.in_c	exp.w1_2.in_c	relation	delta.p.constr.to.word	delta.p.word.to.constr	coll.strength
красивый	цветок	15	4	1	0.02	attraction	0.0655	0.2446	1.638
иссиня-черный	смоль	1	61	1	0.02	attraction	0.9768	0.0164	1.6273
вороный	смоль	1	61	1	0.02	attraction	0.9768	0.0164	1.6273
чистый	лен	61	1	1	0.02	attraction	0.0164	0.9768	1.6273
чистый	кокаин	61	1	1	0.02	attraction	0.0164	0.9768	1.6273
чистый	роса	61	1	1	0.02	attraction	0.0164	0.9768	1.6273
тяжелый	дуб	9	7	1	0.02	attraction	0.1088	0.1398	1.6173
прекрасный	заря	21	3	1	0.02	attraction	0.0468	0.3256	1.6167
любопытный	ребенок	3	21	1	0.02	attraction	0.3256	0.0468	1.6167
наивный	ребенок	3	21	1	0.02	attraction	0.3256	0.0468	1.6167
сладкий	вино	16	4	1	0.02	attraction	0.0613	0.2442	1.6102
мягкий	глина	32	2	1	0.02	attraction	0.0309	0.488	1.6091
тупой	валенок	13	5	1	0.03	attraction	0.0754	0.1954	1.6037
тупой	топор	13	5	1	0.03	attraction	0.0754	0.1954	1.6037
тупой	стол	13	5	1	0.03	attraction	0.0754	0.1954	1.6037
счастливый	младенец	11	6	1	0.03	attraction	0.089	0.1628	1.5973
древний	мамонт	33	2	1	0.03	attraction	0.0299	0.4876	1.5958
прямой	столб	33	2	1	0.03	attraction	0.0299	0.4876	1.5958
легкий	дуновение	35	2	1	0.03	attraction	0.0282	0.4868	1.5704
легкий	пепел	35	2	1	0.03	attraction	0.0282	0.4868	1.5704
тонкий	шелк	26	26	2	0.26	attraction	0.0675	0.0675	1.5647
пьяный	медведь	9	8	1	0.03	attraction	0.1084	0.1219	1.56
худой	тростинка	12	6	1	0.03	attraction	0.0814	0.1624	1.5599
живой	ртуть	18	4	1	0.03	attraction	0.0544	0.2434	1.5596
быстрый	ягуар	24	3	1	0.03	attraction	0.0409	0.3244	1.5592
твердый	базальт	74	1	1	0.03	attraction	0.0135	0.9718	1.5434
твердый	скала гибралтара 	74	1	1	0.03	attraction	0.0135	0.9718	1.5434
многогранный	жизнь	3	25	1	0.03	attraction	0.324	0.0392	1.5416
узкий	бритва	3	25	1	0.03	attraction	0.324	0.0392	1.5416
здоровый	пионер	38	2	1	0.03	attraction	0.0259	0.4857	1.5349
здоровый	огурец	38	2	1	0.03	attraction	0.0259	0.4857	1.5349
здоровый	сволочь	38	2	1	0.03	attraction	0.0259	0.4857	1.5349
тупой	дерево	13	6	1	0.03	attraction	0.075	0.162	1.5256
нужный	хлеб и вода	79	1	1	0.03	attraction	0.0127	0.9698	1.515
огромный	медведь	10	8	1	0.03	attraction	0.0973	0.1215	1.5148
страшный	огонь	10	8	1	0.03	attraction	0.0973	0.1215	1.5148
сухой	жердь	10	8	1	0.03	attraction	0.0973	0.1215	1.5148
острый	ад	41	2	1	0.03	attraction	0.024	0.4845	1.5022
прочный	дерево	14	6	1	0.03	attraction	0.0695	0.1616	1.4938
прекрасный	богиня	21	4	1	0.03	attraction	0.0464	0.2423	1.4934
прекрасный	ангел	21	4	1	0.03	attraction	0.0464	0.2423	1.4934
скользкий	лед	2	42	1	0.03	attraction	0.4841	0.0234	1.4918
необходимый	воздух вода и свет	84	1	1	0.03	attraction	0.0119	0.9679	1.4883
необходимый	глоток свежего воздуха	84	1	1	0.03	attraction	0.0119	0.9679	1.4883
добрый	смерть	2	46	1	0.04	attraction	0.4826	0.0213	1.4526
холодный	дождь	46	2	1	0.04	attraction	0.0213	0.4826	1.4526
гладкий	бархат	32	3	1	0.04	attraction	0.0305	0.3213	1.4356
прозрачный	дуновение	48	2	1	0.04	attraction	0.0204	0.4818	1.4343
прочный	дуб	14	7	1	0.04	attraction	0.0691	0.1378	1.428
твердый	доска	74	11	2	0.31	attraction	0.0234	0.1539	1.4248
бесконечный	жизнь	4	25	1	0.04	attraction	0.2407	0.0388	1.4187
белый	порох	99	1	1	0.04	attraction	0.0101	0.9621	1.417
белый	привидение	99	1	1	0.04	attraction	0.0101	0.9621	1.417
белый	пудра	99	1	1	0.04	attraction	0.0101	0.9621	1.417
белый	нефрит	99	1	1	0.04	attraction	0.0101	0.9621	1.417
белый	кролик	99	1	1	0.04	attraction	0.0101	0.9621	1.417
крепкий	скала	29	29	2	0.33	attraction	0.0584	0.0584	1.3883
черный	пистолет	106	1	1	0.04	attraction	0.0094	0.9594	1.3873
черный	подрясник	106	1	1	0.04	attraction	0.0094	0.9594	1.3873
черный	мать	106	1	1	0.04	attraction	0.0094	0.9594	1.3873
черный	мрак	106	1	1	0.04	attraction	0.0094	0.9594	1.3873
черный	ворон	106	1	1	0.04	attraction	0.0094	0.9594	1.3873
черный	цвет	106	1	1	0.04	attraction	0.0094	0.9594	1.3873
нежный	дыхание	12	9	1	0.04	attraction	0.0802	0.1068	1.3866
худой	палка	12	9	1	0.04	attraction	0.0802	0.1068	1.3866
