words1	words2	freq.w1	freq.w2	obs.w1_2.in_c	exp.w1_2.in_c	relation	delta.p.constr.to.word	delta.p.word.to.constr	coll.strength
пьяный	свинья	9	6	4	0.02	attraction	0.4437	0.6647	8.9942
рад	слон	11	172	9	0.73	attraction	0.7549	0.0515	8.9908
черный	сажа	106	8	7	0.33	attraction	0.0656	0.8366	8.9073
богатый	крез	4	3	3	0	attraction	0.75	0.9996	8.8572
мрачный	туча	3	4	3	0	attraction	0.9996	0.75	8.8572
красивый	бог	15	11	5	0.06	attraction	0.331	0.4507	8.8485
безжалостный	зверь	3	5	3	0.01	attraction	0.9992	0.6	8.4592
голый	сокол	5	3	3	0.01	attraction	0.6	0.9992	8.4592
тонкий	бумага	26	8	5	0.08	attraction	0.1911	0.6169	8.4249
хрупкий	стекло	8	29	5	0.09	attraction	0.6157	0.1712	8.1696
элегантный	рояль	6	3	3	0.01	attraction	0.5	0.9988	8.1582
надежный	автомат калашникова 	20	5	4	0.04	attraction	0.1996	0.7938	7.8872
подвижный	ртуть	5	4	3	0.01	attraction	0.5996	0.7492	7.8574
ясный	день	5	4	3	0.01	attraction	0.5996	0.7492	7.8574
бодрый	огурчик	4	6	3	0.01	attraction	0.7488	0.4996	7.5565
белый	мел	99	11	7	0.42	attraction	0.0691	0.6006	7.5462
надежный	скала	20	29	6	0.22	attraction	0.291	0.2014	7.3975
глухой	пень	4	7	3	0.01	attraction	0.7485	0.4282	7.3136
твердый	скала	74	29	9	0.83	attraction	0.1137	0.2849	7.3034
острый	нож	41	4	4	0.06	attraction	0.0976	0.9857	7.2638
спокойный	танк	26	13	5	0.13	attraction	0.1892	0.3765	7.0783
твердый	кремень	74	6	5	0.17	attraction	0.0672	0.8066	7.0069
стройный	газель	14	3	3	0.02	attraction	0.2143	0.9957	6.8981
упрямый	осел	10	4	3	0.02	attraction	0.2996	0.7473	6.7789
чистый	стеклышко	61	21	7	0.5	attraction	0.1092	0.3123	6.5896
острый	лезвие	41	5	4	0.08	attraction	0.0972	0.7857	6.5699
плотный	асфальт	2	2	2	0	attraction	1	1	6.5241
прекрасный	как бутон розы сверкающий каплями росы	21	3	3	0.02	attraction	0.1429	0.993	6.3354
светлый	солнце	5	11	3	0.02	attraction	0.5969	0.272	6.2438
твердый	сталь	74	13	6	0.37	attraction	0.0783	0.4351	6.1831
огромный	гора	10	6	3	0.02	attraction	0.2988	0.4973	6.0817
дырявый	решето	3	2	2	0	attraction	0.6667	0.9996	6.0469
пенистый	шампанское	2	3	2	0	attraction	0.9996	0.6667	6.0469
ловкий	ягуар	2	3	2	0	attraction	0.9996	0.6667	6.0469
лысый	коленка	3	2	2	0	attraction	0.6667	0.9996	6.0469
многогранный	бриллиант	3	2	2	0	attraction	0.6667	0.9996	6.0469
тонкий	паутина	26	3	3	0.03	attraction	0.1154	0.9911	6.0443
тонкий	ниточка	26	3	3	0.03	attraction	0.1154	0.9911	6.0443
простой	валенок	57	5	4	0.11	attraction	0.0698	0.7795	5.9809
плоский	блин	19	4	3	0.03	attraction	0.1575	0.7438	5.8729
белый	свет	99	7	5	0.27	attraction	0.0497	0.6778	5.8324
тяжелый	железо	9	8	3	0.03	attraction	0.3314	0.3727	5.7906
душистый	роза	2	4	2	0	attraction	0.9992	0.5	5.7459
горький	полынь	4	2	2	0	attraction	0.5	0.9992	5.7459
хитрый	лиса	4	2	2	0	attraction	0.5	0.9992	5.7459
резкий	понос	3	3	2	0	attraction	0.6663	0.6663	5.5699
здоровый	космонавт	38	3	3	0.04	attraction	0.0789	0.9864	5.5331
зеленый	трава	5	2	2	0	attraction	0.4	0.9988	5.5241
сочный	персик	2	5	2	0	attraction	0.9988	0.4	5.5241
тонкий	спичка	26	4	3	0.04	attraction	0.115	0.7411	5.4451
довольный	удав	166	22	9	1.41	attraction	0.0488	0.3479	5.4436
худой	жердь	12	8	3	0.04	attraction	0.2481	0.3715	5.3743
мокрый	лягуша	6	2	2	0	attraction	0.3333	0.9985	5.348
бледный	поганка	46	3	3	0.05	attraction	0.0652	0.9834	5.278
бледный	мертвец	46	3	3	0.05	attraction	0.0652	0.9834	5.278
жирный	боров	3	4	2	0	attraction	0.6659	0.4996	5.269
мягкий	воск	32	4	3	0.05	attraction	0.0934	0.7388	5.1654
крепкий	сталь	29	13	4	0.15	attraction	0.1344	0.298	5.0697
ласковый	теленок	5	3	2	0.01	attraction	0.3996	0.6655	5.0473
гибкий	лоза	5	3	2	0.01	attraction	0.3996	0.6655	5.0473
круглый	шар	5	3	2	0.01	attraction	0.3996	0.6655	5.0473
упертый	баран	3	5	2	0.01	attraction	0.6655	0.3996	5.0473
горький	коньяк	4	4	2	0.01	attraction	0.4992	0.4992	4.9682
скрипучий	сахар	2	9	2	0.01	attraction	0.9973	0.2222	4.9678
здоровый	лошадь	38	4	3	0.06	attraction	0.0786	0.7364	4.9355
прочный	скала	14	29	4	0.16	attraction	0.276	0.134	4.9269
алый	кровь	2	10	2	0.01	attraction	0.9969	0.2	4.8708
тонкий	тростинка	26	6	3	0.06	attraction	0.1142	0.4911	4.752
ласковый	котенок	5	4	2	0.01	attraction	0.3992	0.4988	4.7466
пустой	барабан	7	3	2	0.01	attraction	0.2853	0.6647	4.7253
яркий	солнце	14	11	3	0.06	attraction	0.2112	0.2685	4.6918
трезвый	стекло	16	29	4	0.18	attraction	0.2403	0.1332	4.6741
прозрачный	вода	48	20	5	0.37	attraction	0.0983	0.2332	4.6493
сильный	лев	29	6	3	0.07	attraction	0.1023	0.4899	4.6053
храбрый	медведь	3	8	2	0.01	attraction	0.6643	0.2496	4.6005
бледный	мел	46	11	4	0.2	attraction	0.0842	0.3473	4.5779
глубокий	море	4	6	2	0.01	attraction	0.4985	0.3326	4.5707
стройный	березка	14	2	2	0.01	attraction	0.1429	0.9954	4.565
яркий	букет	14	2	2	0.01	attraction	0.1429	0.9954	4.565
белый	молоко	99	6	4	0.23	attraction	0.0396	0.6298	4.5434
жесткий	деревяшка	9	3	2	0.01	attraction	0.2218	0.664	4.4914
прямой	струна	33	6	3	0.08	attraction	0.0897	0.4884	4.4327
простой	карандаш	57	4	3	0.09	attraction	0.0522	0.7291	4.3978
страшный	медуза	10	3	2	0.01	attraction	0.1996	0.6636	4.3946
крепкий	дуб	29	7	3	0.08	attraction	0.1019	0.4185	4.3656
синий	море	5	6	2	0.01	attraction	0.3985	0.3322	4.3493
свежий	огурчик	5	6	2	0.01	attraction	0.3985	0.3322	4.3493
важный	воздух	8	164	5	0.51	attraction	0.5633	0.0292	4.3344
любопытный	кошка	3	11	2	0.01	attraction	0.6632	0.1814	4.3076
влюбленный	кошка	3	11	2	0.01	attraction	0.6632	0.1814	4.3076
совершенный	бог	3	11	2	0.01	attraction	0.6632	0.1814	4.3076
плоский	лещ	19	2	2	0.01	attraction	0.1053	0.9934	4.2911
белый	мука	99	3	3	0.11	attraction	0.0303	0.9628	4.2637
жидкий	вода	2	20	2	0.02	attraction	0.993	0.1	4.2453
текучий	вода	2	20	2	0.02	attraction	0.993	0.1	4.2453
прозрачный	хрусталь	48	5	3	0.09	attraction	0.0617	0.5826	4.2327
искрененный	ребенок	2	21	2	0.02	attraction	0.9926	0.0952	4.2018
прекрасный	как бутон розы сверкающий каплями росы 	21	2	2	0.02	attraction	0.0952	0.9926	4.2018
мокрый	мышь	6	6	2	0.01	attraction	0.3318	0.3318	4.1737
счастливый	ребенок	11	21	3	0.09	attraction	0.2657	0.1397	4.1361
грязный	черт	2	23	2	0.02	attraction	0.9919	0.087	4.1209
глупый	пробка	4	10	2	0.02	attraction	0.4969	0.1992	4.0945
сухой	солома	10	4	2	0.02	attraction	0.1992	0.4969	4.0945
ровный	стол	8	5	2	0.02	attraction	0.2488	0.3977	4.0789
прочный	камень	14	48	4	0.26	attraction	0.2686	0.0794	4.0393
тонкий	паутинка	26	2	2	0.02	attraction	0.0769	0.9907	4.0122
простой	топор	57	5	3	0.11	attraction	0.0518	0.5791	4.0067
голодный	зверь	9	5	2	0.02	attraction	0.2211	0.3973	3.9701
нежный	цветок	12	4	2	0.02	attraction	0.1659	0.4961	3.9286
неподвижный	скала	2	29	2	0.02	attraction	0.9896	0.069	3.9155
неприступный	скала	2	29	2	0.02	attraction	0.9896	0.069	3.9155
упрямый	баран	10	5	2	0.02	attraction	0.1988	0.3969	3.8735
наглый	танк	4	13	2	0.02	attraction	0.4957	0.1531	3.8563
гладкий	мрамор	32	2	2	0.02	attraction	0.0625	0.9884	3.8286
вечный	мир	13	391	8	1.97	attraction	0.4665	0.0182	3.7871
надежный	автомат калашникова	20	3	2	0.02	attraction	0.0996	0.6597	3.7702
длинный	жердь	7	8	2	0.02	attraction	0.2834	0.2481	3.758
тощий	жердь	7	8	2	0.02	attraction	0.2834	0.2481	3.758
нежный	шелк	12	26	3	0.12	attraction	0.2411	0.1119	3.728
красивый	богиня	15	4	2	0.02	attraction	0.1326	0.495	3.7276
красивый	звезда	15	4	2	0.02	attraction	0.1326	0.495	3.7276
прекрасный	луна	21	3	2	0.02	attraction	0.0948	0.6593	3.7269
беспомощный	ребенок	3	21	2	0.02	attraction	0.6593	0.0948	3.7269
невинный	младенец	10	6	2	0.02	attraction	0.1984	0.3302	3.6983
здоровый	конь	38	2	2	0.03	attraction	0.0526	0.9861	3.6771
чумазый	черт	3	23	2	0.03	attraction	0.6585	0.0866	3.6462
чистый	младенец	61	6	3	0.14	attraction	0.048	0.4775	3.6241
острый	скальпель	41	2	2	0.03	attraction	0.0488	0.9849	3.6102
яркий	солнышко	14	5	2	0.03	attraction	0.1417	0.3954	3.5691
сильный	бык	29	30	4	0.34	attraction	0.1278	0.1236	3.5436
неотвратимый	смерть	2	46	2	0.04	attraction	0.983	0.0435	3.5091
черствый	камень	2	48	2	0.04	attraction	0.9822	0.0417	3.4717
сладкий	персик	16	5	2	0.03	attraction	0.1238	0.3946	3.4496
крепкий	орех	29	3	2	0.03	attraction	0.0686	0.6562	3.4414
горячий	огонь	10	8	2	0.03	attraction	0.1977	0.2469	3.4291
прекрасный	звезда	21	4	2	0.03	attraction	0.0945	0.4926	3.428
деятельный	пчела	1	1	1	0	attraction	1	1	3.4126
драный	хвост у твоей собаки	1	1	1	0	attraction	1	1	3.4126
изъезженный	европа	1	1	1	0	attraction	1	1	3.4126
пламенный	юноша	1	1	1	0	attraction	1	1	3.4126
податливый	пластилин	1	1	1	0	attraction	1	1	3.4126
полезный	бутылка	1	1	1	0	attraction	1	1	3.4126
покорный	рабыня	1	1	1	0	attraction	1	1	3.4126
постепенный	улитка	1	1	1	0	attraction	1	1	3.4126
пытливый	англичанин	1	1	1	0	attraction	1	1	3.4126
прямолинейный	меч самурая 	1	1	1	0	attraction	1	1	3.4126
пустынный	кастрюля	1	1	1	0	attraction	1	1	3.4126
блестящий	золото	1	1	1	0	attraction	1	1	3.4126
безмолвный	отчаянье	1	1	1	0	attraction	1	1	3.4126
безобразный	истина	1	1	1	0	attraction	1	1	3.4126
безупречный	фарфор	1	1	1	0	attraction	1	1	3.4126
безумный	шляпник	1	1	1	0	attraction	1	1	3.4126
беспристрастный	судья	1	1	1	0	attraction	1	1	3.4126
брезгливый	падла	1	1	1	0	attraction	1	1	3.4126
липкий	карамель	1	1	1	0	attraction	1	1	3.4126
лохматый	абориген	1	1	1	0	attraction	1	1	3.4126
ажурный	кружево	1	1	1	0	attraction	1	1	3.4126
агрессивный	стая бешеных собак	1	1	1	0	attraction	1	1	3.4126
заброшенный	антарктида	1	1	1	0	attraction	1	1	3.4126
занятый	пчелка	1	1	1	0	attraction	1	1	3.4126
застывший	манекен	1	1	1	0	attraction	1	1	3.4126
зыбкий	колебание воздуха	1	1	1	0	attraction	1	1	3.4126
мирный	пучок одуванчиков	1	1	1	0	attraction	1	1	3.4126
медлительный	черепаха	1	1	1	0	attraction	1	1	3.4126
мелодичный	джаз	1	1	1	0	attraction	1	1	3.4126
мелкий	пыль	1	1	1	0	attraction	1	1	3.4126
мохнатый	як-истребитель	1	1	1	0	attraction	1	1	3.4126
напористый	бульдог	1	1	1	0	attraction	1	1	3.4126
нагой	дерево без вишни	1	1	1	0	attraction	1	1	3.4126
нататуированный	папуас	1	1	1	0	attraction	1	1	3.4126
непредсказуемый	погода весной	1	1	1	0	attraction	1	1	3.4126
непреодолимый	рок	1	1	1	0	attraction	1	1	3.4126
неоднозначный	осень	1	1	1	0	attraction	1	1	3.4126
невозмутимый	рептилия	1	1	1	0	attraction	1	1	3.4126
нереальный	сон	1	1	1	0	attraction	1	1	3.4126
несокрушимый	пламя	1	1	1	0	attraction	1	1	3.4126
опасный	нож из тьмы	1	1	1	0	attraction	1	1	3.4126
оборванный	бродяга	1	1	1	0	attraction	1	1	3.4126
органиченный	рыба в воде	1	1	1	0	attraction	1	1	3.4126
вогнутый	миска	1	1	1	0	attraction	1	1	3.4126
вялый	вафля	1	1	1	0	attraction	1	1	3.4126
гигантский	парус	1	1	1	0	attraction	1	1	3.4126
костлявый	модель	1	1	1	0	attraction	1	1	3.4126
квадратный	наволочка	1	1	1	0	attraction	1	1	3.4126
крутой	америка	1	1	1	0	attraction	1	1	3.4126
шустрый	вжик	1	1	1	0	attraction	1	1	3.4126
таинственный	глубокое озеро	1	1	1	0	attraction	1	1	3.4126
точенный	статуэтка	1	1	1	0	attraction	1	1	3.4126
разный	небо и земля	1	1	1	0	attraction	1	1	3.4126
ревнивый	сука	1	1	1	0	attraction	1	1	3.4126
целеустремленный	снежинка	1	1	1	0	attraction	1	1	3.4126
чуткий	пантера	1	1	1	0	attraction	1	1	3.4126
ядовитый	гадюка	1	1	1	0	attraction	1	1	3.4126
седый	лунь	1	1	1	0	attraction	1	1	3.4126
сморщенный	гриб	1	1	1	0	attraction	1	1	3.4126
свирепый	шакал	1	1	1	0	attraction	1	1	3.4126
скрюченный	буква	1	1	1	0	attraction	1	1	3.4126
стекл	трезвышко	1	1	1	0	attraction	1	1	3.4126
удачливый	адвокат	1	1	1	0	attraction	1	1	3.4126
упитанный	груша	1	1	1	0	attraction	1	1	3.4126
упругий	пластик	1	1	1	0	attraction	1	1	3.4126
учтивый	стюардесса на иностранных авиалиниях	1	1	1	0	attraction	1	1	3.4126
стройный	тростинка	14	6	2	0.03	attraction	0.1413	0.3287	3.3943
мягкий	бархат	32	3	2	0.04	attraction	0.0621	0.6551	3.3548
ровный	зеркало	8	11	2	0.03	attraction	0.2465	0.1795	3.3426
простой	дверь	57	2	2	0.04	attraction	0.0351	0.9787	3.321
простой	табуретка	57	2	2	0.04	attraction	0.0351	0.9787	3.321
огромный	небо	10	9	2	0.03	attraction	0.1973	0.2191	3.3208
плоский	стол	19	5	2	0.04	attraction	0.1041	0.3934	3.2968
страшный	смерть	10	46	3	0.18	attraction	0.2833	0.0625	3.2369
крепкий	коньяк	29	4	2	0.04	attraction	0.0682	0.4895	3.1435
доверчивый	студентка	2	1	1	0	attraction	0.5	0.9996	3.1116
извилистый	каракуль	2	1	1	0	attraction	0.5	0.9996	3.1116
извилистый	спираль	2	1	1	0	attraction	0.5	0.9996	3.1116
изворотливый	змея	1	2	1	0	attraction	0.9996	0.5	3.1116
изящный и грациозный	француз	1	2	1	0	attraction	0.9996	0.5	3.1116
призрачный	тень	1	2	1	0	attraction	0.9996	0.5	3.1116
промезший	бетон	1	2	1	0	attraction	0.9996	0.5	3.1116
пушистый	облачко	2	1	1	0	attraction	0.5	0.9996	3.1116
бедный	голь перекатная	2	1	1	0	attraction	0.5	0.9996	3.1116
активный	ураган	1	2	1	0	attraction	0.9996	0.5	3.1116
жаркий	африка	2	1	1	0	attraction	0.5	0.9996	3.1116
загорелый	мулатка	2	1	1	0	attraction	0.5	0.9996	3.1116
маленький	песчинка	2	1	1	0	attraction	0.5	0.9996	3.1116
маленький	мышка	2	1	1	0	attraction	0.5	0.9996	3.1116
неповоротливый	носорог	2	1	1	0	attraction	0.5	0.9996	3.1116
одинокий	перст	2	1	1	0	attraction	0.5	0.9996	3.1116
одинокий	король	2	1	1	0	attraction	0.5	0.9996	3.1116
ветреный	француз	1	2	1	0	attraction	0.9996	0.5	3.1116
верный	таблица умножения	2	1	1	0	attraction	0.5	0.9996	3.1116
веселый	бабка с семечками	2	1	1	0	attraction	0.5	0.9996	3.1116
весомый	гранит	1	2	1	0	attraction	0.9996	0.5	3.1116
внезапный	леопард	2	1	1	0	attraction	0.5	0.9996	3.1116
внезапный	шишка	2	1	1	0	attraction	0.5	0.9996	3.1116
вкусный	человечина	2	1	1	0	attraction	0.5	0.9996	3.1116
готовый	штык	2	1	1	0	attraction	0.5	0.9996	3.1116
колючий	елка	2	1	1	0	attraction	0.5	0.9996	3.1116
колючий	еж	2	1	1	0	attraction	0.5	0.9996	3.1116
коварный	царица	2	1	1	0	attraction	0.5	0.9996	3.1116
короткий	выстрел	1	2	1	0	attraction	0.9996	0.5	3.1116
кристальный	сколок айсберга	2	1	1	0	attraction	0.5	0.9996	3.1116
шершавый	наждачка	2	1	1	0	attraction	0.5	0.9996	3.1116
шершавый	терка	2	1	1	0	attraction	0.5	0.9996	3.1116
радостный	песня	2	1	1	0	attraction	0.5	0.9996	3.1116
раздутый	вата	1	2	1	0	attraction	0.9996	0.5	3.1116
рыжий	морковка	2	1	1	0	attraction	0.5	0.9996	3.1116
рыхлый	печенье	2	1	1	0	attraction	0.5	0.9996	3.1116
хлесткий	выстрел	1	2	1	0	attraction	0.9996	0.5	3.1116
сладкий и прилипчивый	пастила	1	2	1	0	attraction	0.9996	0.5	3.1116
смелый	лебедь	2	1	1	0	attraction	0.5	0.9996	3.1116
соленый	вобла	1	2	1	0	attraction	0.9996	0.5	3.1116
скользкий	угорь	2	1	1	0	attraction	0.5	0.9996	3.1116
сушеный	вобла	1	2	1	0	attraction	0.9996	0.5	3.1116
белый	полотно	99	12	4	0.46	attraction	0.0372	0.2964	3.1024
твердый	кусок	74	2	2	0.06	attraction	0.027	0.9721	3.0925
гладкий	кость	32	4	2	0.05	attraction	0.0617	0.4884	3.0572
древний	человечество	33	4	2	0.05	attraction	0.0598	0.488	3.0302
дырявый	дуршлаг	3	1	1	0	attraction	0.3333	0.9992	2.9355
беспомощный	птичка	3	1	1	0	attraction	0.3333	0.9992	2.9355
большой	мироздание	3	1	1	0	attraction	0.3333	0.9992	2.9355
лысый	свинка	3	1	1	0	attraction	0.3333	0.9992	2.9355
жирный	хрюша	3	1	1	0	attraction	0.3333	0.9992	2.9355
желтый	одуванчик	3	1	1	0	attraction	0.3333	0.9992	2.9355
желтый	вечность	3	1	1	0	attraction	0.3333	0.9992	2.9355
закланный	агнец	1	3	1	0	attraction	0.9992	0.3333	2.9355
мощный	тигр	3	1	1	0	attraction	0.3333	0.9992	2.9355
наивный	человек	3	1	1	0	attraction	0.3333	0.9992	2.9355
влюбленный	мальчишка	3	1	1	0	attraction	0.3333	0.9992	2.9355
густой	каша	3	1	1	0	attraction	0.3333	0.9992	2.9355
разряженный	кукла	1	3	1	0	attraction	0.9992	0.3333	2.9355
разукрашенный	кукла	1	3	1	0	attraction	0.9992	0.3333	2.9355
резкий	щелчок кнута	3	1	1	0	attraction	0.3333	0.9992	2.9355
чудный	заря	1	3	1	0	attraction	0.9992	0.3333	2.9355
чумазый	трубочист	3	1	1	0	attraction	0.3333	0.9992	2.9355
стремительный	звон стрелы или полет скакуна	3	1	1	0	attraction	0.3333	0.9992	2.9355
стремительный	метеор	3	1	1	0	attraction	0.3333	0.9992	2.9355
стремительный	комета	3	1	1	0	attraction	0.3333	0.9992	2.9355
сытный	хлеб	1	3	1	0	attraction	0.9992	0.3333	2.9355
узкий	острие	3	1	1	0	attraction	0.3333	0.9992	2.9355
узкий	футляр	3	1	1	0	attraction	0.3333	0.9992	2.9355
вольный	ветер	7	20	2	0.05	attraction	0.2787	0.0981	2.9332
сладкий	сахар	16	9	2	0.06	attraction	0.1223	0.2168	2.8996
мягкий	облако	32	5	2	0.06	attraction	0.0613	0.3884	2.8387
белый	сметана	99	2	2	0.08	attraction	0.0202	0.9625	2.8382
загорелый	шоколад	2	2	1	0	attraction	0.4996	0.4996	2.8107
готовый	пионер	2	2	1	0	attraction	0.4996	0.4996	2.8107
теплый	любовь	2	2	1	0	attraction	0.4996	0.4996	2.8107
серый	пепел	2	2	1	0	attraction	0.4996	0.4996	2.8107
пышный	роза	1	4	1	0	attraction	0.9988	0.25	2.8106
мудрый	дракон	4	1	1	0	attraction	0.25	0.9988	2.8106
мудрый	друид	4	1	1	0	attraction	0.25	0.9988	2.8106
мудрый	змий	4	1	1	0	attraction	0.25	0.9988	2.8106
мудрый	мать-земля	4	1	1	0	attraction	0.25	0.9988	2.8106
глупый	пес	4	1	1	0	attraction	0.25	0.9988	2.8106
толстый	кожа носорога	4	1	1	0	attraction	0.25	0.9988	2.8106
трердый	кость	1	4	1	0	attraction	0.9988	0.25	2.8106
тягучий	сгущенка	4	1	1	0	attraction	0.25	0.9988	2.8106
хитрый	лисица	4	1	1	0	attraction	0.25	0.9988	2.8106
важный	вода	8	20	2	0.06	attraction	0.243	0.0977	2.8103
чистый	агнец	61	3	2	0.07	attraction	0.0324	0.6438	2.7911
чистый	кристалл	61	3	2	0.07	attraction	0.0324	0.6438	2.7911
черный	нефть	106	2	2	0.08	attraction	0.0189	0.9598	2.7786
легкий	облако	35	5	2	0.07	attraction	0.056	0.3872	2.7607
крепкий	камень	29	48	4	0.54	attraction	0.1207	0.0735	2.7531
ровный	стрела	8	22	2	0.07	attraction	0.2422	0.0886	2.7268
подвижный	подросток	5	1	1	0	attraction	0.2	0.9985	2.7137
подвижный	капля ртути 	5	1	1	0	attraction	0.2	0.9985	2.7137
послушный	ягненок	1	5	1	0	attraction	0.9985	0.2	2.7137
беззлобный	дитя	1	5	1	0	attraction	0.9985	0.2	2.7137
зеленый	листва	5	1	1	0	attraction	0.2	0.9985	2.7137
зеленый	слизь	5	1	1	0	attraction	0.2	0.9985	2.7137
воздушный	пачка	5	1	1	0	attraction	0.2	0.9985	2.7137
воздушный	зефир	5	1	1	0	attraction	0.2	0.9985	2.7137
воздушный	вуаль	5	1	1	0	attraction	0.2	0.9985	2.7137
воздушный	суфле	5	1	1	0	attraction	0.2	0.9985	2.7137
гибкий	тростник	5	1	1	0	attraction	0.2	0.9985	2.7137
гибкий	резина	5	1	1	0	attraction	0.2	0.9985	2.7137
голый	ню	5	1	1	0	attraction	0.2	0.9985	2.7137
круглый	яйцо	5	1	1	0	attraction	0.2	0.9985	2.7137
честный	топор	1	5	1	0	attraction	0.9985	0.2	2.7137
синий	ночное небо 	5	1	1	0	attraction	0.2	0.9985	2.7137
слабый	курица	5	1	1	0	attraction	0.2	0.9985	2.7137
слабый	тростиночка	5	1	1	0	attraction	0.2	0.9985	2.7137
слабый	тряпка	5	1	1	0	attraction	0.2	0.9985	2.7137
слабый	цыпленок	5	1	1	0	attraction	0.2	0.9985	2.7137
свежий	поцелуй	5	1	1	0	attraction	0.2	0.9985	2.7137
светлый	дымка	5	1	1	0	attraction	0.2	0.9985	2.7137
прочный	танк	14	13	2	0.07	attraction	0.1386	0.1492	2.6877
проворный	понос	2	3	1	0	attraction	0.4992	0.3329	2.6346
блистающий	заря	2	3	1	0	attraction	0.4992	0.3329	2.6346
желанный	шоколад	3	2	1	0	attraction	0.3329	0.4992	2.6346
мощный	ураган	3	2	1	0	attraction	0.3329	0.4992	2.6346
оранжевый	апельсин	2	3	1	0	attraction	0.4992	0.3329	2.6346
вязкий	деготь	3	2	1	0	attraction	0.3329	0.4992	2.6346
вязкий	глина	3	2	1	0	attraction	0.3329	0.4992	2.6346
тихий	тень	3	2	1	0	attraction	0.3329	0.4992	2.6346
рыжий	апельсин	2	3	1	0	attraction	0.4992	0.3329	2.6346
рыхлый	медуза	2	3	1	0	attraction	0.4992	0.3329	2.6346
смирный	овечка	2	3	1	0	attraction	0.4992	0.3329	2.6346
смирный	теленок	2	3	1	0	attraction	0.4992	0.3329	2.6346
блудивый	кот	1	6	1	0	attraction	0.9981	0.1667	2.6345
бескрайний	океан	1	6	1	0	attraction	0.9981	0.1667	2.6345
боязливый	заяц	1	6	1	0	attraction	0.9981	0.1667	2.6345
мокрый	цуцик	6	1	1	0	attraction	0.1667	0.9981	2.6345
мокрый	чушка	6	1	1	0	attraction	0.1667	0.9981	2.6345
натянутый	струна	1	6	1	0	attraction	0.9981	0.1667	2.6345
вытянутый	струна	1	6	1	0	attraction	0.9981	0.1667	2.6345
темный	ноча	6	1	1	0	attraction	0.1667	0.9981	2.6345
темный	обезьянка	6	1	1	0	attraction	0.1667	0.9981	2.6345
слепой	щенок	6	1	1	0	attraction	0.1667	0.9981	2.6345
слепой	ягненок новорожденный котенок 	6	1	1	0	attraction	0.1667	0.9981	2.6345
элегантный	цветок лилии	6	1	1	0	attraction	0.1667	0.9981	2.6345
элегантный	цветок орхидеи	6	1	1	0	attraction	0.1667	0.9981	2.6345
нежный	пух	12	17	2	0.08	attraction	0.1608	0.1138	2.5878
длинный	жердина	7	1	1	0	attraction	0.1429	0.9977	2.5675
длинный	змей	7	1	1	0	attraction	0.1429	0.9977	2.5675
длинный	кнут	7	1	1	0	attraction	0.1429	0.9977	2.5675
длинный	корабль	7	1	1	0	attraction	0.1429	0.9977	2.5675
дряхлый и глухой	пень	1	7	1	0	attraction	0.9977	0.1429	2.5675
пустой	ведро	7	1	1	0	attraction	0.1429	0.9977	2.5675
пустой	штука	7	1	1	0	attraction	0.1429	0.9977	2.5675
тощий	шепка	7	1	1	0	attraction	0.1429	0.9977	2.5675
устойчивый	дуб	1	7	1	0	attraction	0.9977	0.1429	2.5675
невинный	ребенок	10	21	2	0.08	attraction	0.1926	0.0921	2.5657
необходимый	хлеб	84	3	2	0.1	attraction	0.0234	0.6349	2.5139
добрый	ангел	2	4	1	0	attraction	0.4988	0.2496	2.5098
бездонный	вселенная	2	4	1	0	attraction	0.4988	0.2496	2.5098
бодрый	огурец	4	2	1	0	attraction	0.2496	0.4988	2.5098
наглый	обезьяна	4	2	1	0	attraction	0.2496	0.4988	2.5098
глухой	столб	4	2	1	0	attraction	0.2496	0.4988	2.5098
тягучий	жвачка	4	2	1	0	attraction	0.2496	0.4988	2.5098
хитрый	обезьяна	4	2	1	0	attraction	0.2496	0.4988	2.5098
хмурый	туча	2	4	1	0	attraction	0.4988	0.2496	2.5098
беспощадный	огонь	1	8	1	0	attraction	0.9973	0.125	2.5095
естественный	чихание	8	1	1	0	attraction	0.125	0.9973	2.5095
заспанный	медведь	1	8	1	0	attraction	0.9973	0.125	2.5095
важный	пеликан	8	1	1	0	attraction	0.125	0.9973	2.5095
хрупкий	крыло бабочки 	8	1	1	0	attraction	0.125	0.9973	2.5095
хрупкий	стебель	8	1	1	0	attraction	0.125	0.9973	2.5095
чистый	голубь	61	4	2	0.09	attraction	0.032	0.4771	2.4968
крепкий	железо	29	8	2	0.09	attraction	0.0666	0.2395	2.4866
страшный	черт	10	23	2	0.09	attraction	0.1918	0.0838	2.4866
прекрасный	бог	21	11	2	0.09	attraction	0.0917	0.1744	2.4807
игривый	шампанское	3	3	1	0	attraction	0.3326	0.3326	2.4587
упертый	трактор	3	3	1	0	attraction	0.3326	0.3326	2.4587
пьяный	павиан	9	1	1	0	attraction	0.1111	0.9969	2.4584
пьяный	сапожник	9	1	1	0	attraction	0.1111	0.9969	2.4584
пьяный	стелька	9	1	1	0	attraction	0.1111	0.9969	2.4584
безграничный	небо	1	9	1	0	attraction	0.9969	0.1111	2.4584
жесткий	подметка	9	1	1	0	attraction	0.1111	0.9969	2.4584
жесткий	проволока	9	1	1	0	attraction	0.1111	0.9969	2.4584
жесткий	щетина	9	1	1	0	attraction	0.1111	0.9969	2.4584
загадочный	мираж	9	1	1	0	attraction	0.1111	0.9969	2.4584
