words1	words2	freq.w1	freq.w2	obs.w1_2.in_c	exp.w1_2.in_c	relation	delta.p.constr.to.word	delta.p.word.to.constr	coll.strength
pink	flesh	2	1	1	0	attraction	0.5	0.9989	2.6551
reliable	airplane wifi	2	1	1	0	attraction	0.5	0.9989	2.6551
reliable	sunshine	2	1	1	0	attraction	0.5	0.9989	2.6551
skinny	hell center	2	1	1	0	attraction	0.5	0.9989	2.6551
slippery	eel	2	1	1	0	attraction	0.5	0.9989	2.6551
slippery	oil	2	1	1	0	attraction	0.5	0.9989	2.6551
tenacious	honeysuckle	2	1	1	0	attraction	0.5	0.9989	2.6551
tenacious	mountain goatsntain	2	1	1	0	attraction	0.5	0.9989	2.6551
weird	hell	6	328	6	2.18	attraction	0.6414	0.0183	2.6545
sure	hell	37	328	22	13.42	attraction	0.2417	0.041	2.5409
dirty	cotton	1	3	1	0	attraction	0.9978	0.3333	2.479
vast	humanity	1	3	1	0	attraction	0.9978	0.3333	2.479
fine	frog	3	1	1	0	attraction	0.3333	0.9978	2.479
inevitable	"death	3	1	1	0	attraction	0.3333	0.9978	2.479
powerful	real-world	3	1	1	0	attraction	0.3333	0.9978	2.479
real	day and night	3	1	1	0	attraction	0.3333	0.9978	2.479
slow	sap dripping from a maple tapap	3	1	1	0	attraction	0.3333	0.9978	2.479
tight	level	3	1	1	0	attraction	0.3333	0.9978	2.479
creepy	hell	8	328	7	2.9	attraction	0.5167	0.0196	2.36
happy	hell	8	328	7	2.9	attraction	0.5167	0.0196	2.36
english	cucumber	2	2	1	0	attraction	0.4989	0.4989	2.3543
healthy	beef	2	2	1	0	attraction	0.4989	0.4989	2.3543
important	food	2	2	1	0	attraction	0.4989	0.4989	2.3543
pure	wool	2	2	1	0	attraction	0.4989	0.4989	2.3543
common	air and water	4	1	1	0	attraction	0.25	0.9967	2.3541
common	hamstring stories	4	1	1	0	attraction	0.25	0.9967	2.3541
common	muck	4	1	1	0	attraction	0.25	0.9967	2.3541
different	chalk and cheese	4	1	1	0	attraction	0.25	0.9967	2.3541
different	pluto and saturn	4	1	1	0	attraction	0.25	0.9967	2.3541
sexy	gun	4	1	1	0	attraction	0.25	0.9967	2.3541
sure	night follows day	37	3	2	0.12	attraction	0.0529	0.6278	2.3216
bad	death	1	5	1	0.01	attraction	0.9956	0.2	2.2572
normal	breathing	1	5	1	0.01	attraction	0.9956	0.2	2.2572
readily	air	1	5	1	0.01	attraction	0.9956	0.2	2.2572
vital	breathing	1	5	1	0.01	attraction	0.9956	0.2	2.2572
dark	raven	5	1	1	0.01	attraction	0.2	0.9956	2.2572
dark	tea	5	1	1	0.01	attraction	0.2	0.9956	2.2572
dangerous	hell	5	328	5	1.81	attraction	0.6407	0.0152	2.21
old	civilisation itself	72	2	2	0.16	attraction	0.0278	0.9224	2.2033
miserable	sin	2	3	1	0.01	attraction	0.4978	0.3322	2.1785
available	dust	3	2	1	0.01	attraction	0.3322	0.4978	2.1785
available	part	3	2	1	0.01	attraction	0.3322	0.4978	2.1785
complex	truth	3	2	1	0.01	attraction	0.3322	0.4978	2.1785
inevitable	gravity	3	2	1	0.01	attraction	0.3322	0.4978	2.1785
big	golf	6	1	1	0.01	attraction	0.1667	0.9945	2.178
simple	clarity	6	1	1	0.01	attraction	0.1667	0.9945	2.178
simple	copy and paste	6	1	1	0.01	attraction	0.1667	0.9945	2.178
simple	mind over matters	6	1	1	0.01	attraction	0.1667	0.9945	2.178
simple	word of mouth	6	1	1	0.01	attraction	0.1667	0.9945	2.178
strong	ice	10	12	2	0.13	attraction	0.1888	0.1577	2.1638
glorious	rain	1	7	1	0.01	attraction	0.9934	0.1429	2.1111
sure	heck	37	32	5	1.31	attraction	0.104	0.1196	2.1066
solid	rock	4	2	1	0.01	attraction	0.2489	0.4967	2.0538
obvious	daylight	1	8	1	0.01	attraction	0.9922	0.125	2.0531
happy	bit	8	1	1	0.01	attraction	0.125	0.9922	2.0531
soft	velvet	8	1	1	0.01	attraction	0.125	0.9922	2.0531
complex	life	3	3	1	0.01	attraction	0.3311	0.3311	2.0029
hard	sap from a frozen maple tree	9	1	1	0.01	attraction	0.1111	0.9911	2.0019
plain	abc	9	1	1	0.01	attraction	0.1111	0.9911	2.0019
sweet	candy	9	1	1	0.01	attraction	0.1111	0.9911	2.0019
sweet	cooking	9	1	1	0.01	attraction	0.1111	0.9911	2.0019
sweet	table sugar	9	1	1	0.01	attraction	0.1111	0.9911	2.0019
tough	"prayer-loving	9	1	1	0.01	attraction	0.1111	0.9911	2.0019
tough	armour	9	1	1	0.01	attraction	0.1111	0.9911	2.0019
tough	nail pilot	9	1	1	0.01	attraction	0.1111	0.9911	2.0019
cute	pie	10	15	2	0.17	attraction	0.1855	0.1243	1.9699
high	fuck	4	40	2	0.18	attraction	0.4578	0.0477	1.9653
important	death	2	5	1	0.01	attraction	0.4956	0.1989	1.9571
true	mud	1	10	1	0.01	attraction	0.99	0.1	1.9562
cold	clay	10	1	1	0.01	attraction	0.1	0.99	1.9562
strong	metal	10	1	1	0.01	attraction	0.1	0.99	1.9562
strong	proof	10	1	1	0.01	attraction	0.1	0.99	1.9562
bloody	apple pie	1	11	1	0.01	attraction	0.9889	0.0909	1.9148
white	chalk	11	1	1	0.01	attraction	0.0909	0.9889	1.9148
white	ivory	11	1	1	0.01	attraction	0.0909	0.9889	1.9148
white	light	11	1	1	0.01	attraction	0.0909	0.9889	1.9148
common	dirt	4	3	1	0.01	attraction	0.2478	0.33	1.8784
slick	ice	1	12	1	0.01	attraction	0.9878	0.0833	1.877
easy	refrigerator etiquette	12	1	1	0.01	attraction	0.0833	0.9878	1.877
nervous	paper	12	1	1	0.01	attraction	0.0833	0.9878	1.877
scary	murder	12	1	1	0.01	attraction	0.0833	0.9878	1.877
corrupt	shit	1	13	1	0.01	attraction	0.9867	0.0769	1.8422
sketchy	shit	1	13	1	0.01	attraction	0.9867	0.0769	1.8422
thick	ivy	13	1	1	0.01	attraction	0.0769	0.9867	1.8422
thick	kudzu on a pine tree	13	1	1	0.01	attraction	0.0769	0.9867	1.8422
cool	hell	11	328	8	3.99	attraction	0.3689	0.0192	1.8233
inevitable	death	3	5	1	0.02	attraction	0.3289	0.1978	1.782
angry	hell	4	328	4	1.45	attraction	0.64	0.0122	1.7663
catchy	hell	4	328	4	1.45	attraction	0.64	0.0122	1.7663
guilty	hell	4	328	4	1.45	attraction	0.64	0.0122	1.7663
sick	hell	4	328	4	1.45	attraction	0.64	0.0122	1.7663
stylish	hell	4	328	4	1.45	attraction	0.64	0.0122	1.7663
solid	steel	4	4	1	0.02	attraction	0.2467	0.2467	1.7542
certain	daylight	2	8	1	0.02	attraction	0.4922	0.1239	1.7537
pure	snow	2	8	1	0.02	attraction	0.4922	0.1239	1.7537
soft	butter	8	2	1	0.02	attraction	0.1239	0.4922	1.7537
valuable	gold	1	16	1	0.02	attraction	0.9834	0.0625	1.752
old	humanity	72	3	2	0.24	attraction	0.0266	0.589	1.7492
clear	glass	73	3	2	0.24	attraction	0.0262	0.5879	1.7375
simple	cotton	6	3	1	0.02	attraction	0.1644	0.3278	1.7033
hard	stone	9	2	1	0.02	attraction	0.11	0.4911	1.7028
american	"apple pie	18	1	1	0.02	attraction	0.0556	0.9812	1.7009
american	"baseball	18	1	1	0.02	attraction	0.0556	0.9812	1.7009
american	apple cake	18	1	1	0.02	attraction	0.0556	0.9812	1.7009
american	apple pie and baseball	18	1	1	0.02	attraction	0.0556	0.9812	1.7009
american	bacon and eggs	18	1	1	0.02	attraction	0.0556	0.9812	1.7009
american	school itself	18	1	1	0.02	attraction	0.0556	0.9812	1.7009
smooth	buttah	21	1	1	0.02	attraction	0.0476	0.9779	1.6339
smooth	jelly	21	1	1	0.02	attraction	0.0476	0.9779	1.6339
smooth	morning mist	21	1	1	0.02	attraction	0.0476	0.9779	1.6339
smooth	sand paper	21	1	1	0.02	attraction	0.0476	0.9779	1.6339
cool	cucumber	11	2	1	0.02	attraction	0.0898	0.4889	1.6162
white	wool	11	2	1	0.02	attraction	0.0898	0.4889	1.6162
bright	day	4	62	2	0.27	attraction	0.4333	0.0299	1.5953
funny	ritual disembowelment	23	1	1	0.03	attraction	0.0435	0.9756	1.5944
hot	asphalt in july	23	1	1	0.03	attraction	0.0435	0.9756	1.5944
hot	f---	23	1	1	0.03	attraction	0.0435	0.9756	1.5944
soft	cotton	8	3	1	0.03	attraction	0.1228	0.3256	1.5793
sloppy	shit	2	13	1	0.03	attraction	0.4867	0.0758	1.5441
hard	life	9	3	1	0.03	attraction	0.1089	0.3245	1.5287
good	equity	29	1	1	0.03	attraction	0.0345	0.969	1.4938
good	factory	29	1	1	0.03	attraction	0.0345	0.969	1.4938
good	rest	29	1	1	0.03	attraction	0.0345	0.969	1.4938
good	satanism	29	1	1	0.03	attraction	0.0345	0.969	1.4938
good	spring	29	1	1	0.03	attraction	0.0345	0.969	1.4938
good	wine	29	1	1	0.03	attraction	0.0345	0.969	1.4938
simple	air	6	5	1	0.03	attraction	0.1622	0.1944	1.4839
nice	pie	2	15	1	0.03	attraction	0.4845	0.0655	1.4824
old	history	72	4	2	0.32	attraction	0.0254	0.4222	1.4711
awkward	heck	1	32	1	0.04	attraction	0.9657	0.0312	1.451
boring	heck	1	32	1	0.04	attraction	0.9657	0.0312	1.451
comical	heck	1	32	1	0.04	attraction	0.9657	0.0312	1.451
friendly	heck	1	32	1	0.04	attraction	0.9657	0.0312	1.451
gorgeous	heck	1	32	1	0.04	attraction	0.9657	0.0312	1.451
majestic	heck	1	32	1	0.04	attraction	0.9657	0.0312	1.451
neat	heck	1	32	1	0.04	attraction	0.9657	0.0312	1.451
tiny	heck	1	32	1	0.04	attraction	0.9657	0.0312	1.451
eternal	time	1	33	1	0.04	attraction	0.9646	0.0303	1.4377
relentless	time	1	33	1	0.04	attraction	0.9646	0.0303	1.4377
tough	steel	9	4	1	0.04	attraction	0.1078	0.2411	1.4056
sure	day follows night	37	1	1	0.04	attraction	0.027	0.9601	1.388
dumb	shit	3	13	1	0.04	attraction	0.32	0.0747	1.3709
lame	shit	3	13	1	0.04	attraction	0.32	0.0747	1.3709
real	shit	3	13	1	0.04	attraction	0.32	0.0747	1.3709
spooky	shit	3	13	1	0.04	attraction	0.32	0.0747	1.3709
thick	honey	13	3	1	0.04	attraction	0.0747	0.32	1.3709
basic	fuck	1	40	1	0.04	attraction	0.9568	0.025	1.3541
beachy	fuck	1	40	1	0.04	attraction	0.9568	0.025	1.3541
charming	fuck	1	40	1	0.04	attraction	0.9568	0.025	1.3541
efficient	fuck	1	40	1	0.04	attraction	0.9568	0.025	1.3541
flexible	fuck	1	40	1	0.04	attraction	0.9568	0.025	1.3541
giddy	fuck	1	40	1	0.04	attraction	0.9568	0.025	1.3541
greedy	fuck	1	40	1	0.04	attraction	0.9568	0.025	1.3541
horny	fuck	1	40	1	0.04	attraction	0.9568	0.025	1.3541
ignorant	fuck	1	40	1	0.04	attraction	0.9568	0.025	1.3541
liberal	fuck	1	40	1	0.04	attraction	0.9568	0.025	1.3541
lonely	fuck	1	40	1	0.04	attraction	0.9568	0.025	1.3541
mexican	fuck	1	40	1	0.04	attraction	0.9568	0.025	1.3541
queer	fuck	1	40	1	0.04	attraction	0.9568	0.025	1.3541
seductive	fuck	1	40	1	0.04	attraction	0.9568	0.025	1.3541
square	fuck	1	40	1	0.04	attraction	0.9568	0.025	1.3541
unwieldy	fuck	1	40	1	0.04	attraction	0.9568	0.025	1.3541
smooth	stone	21	2	1	0.05	attraction	0.0465	0.4778	1.3378
entertaining	hell	3	328	3	1.09	attraction	0.6393	0.0091	1.3234
rich	hell	3	328	3	1.09	attraction	0.6393	0.0091	1.3234
cold	death	10	5	1	0.06	attraction	0.0955	0.19	1.2659
strong	death	10	5	1	0.06	attraction	0.0955	0.19	1.2659
cool	heck	11	32	2	0.39	attraction	0.1482	0.0522	1.2619
weak	shit	4	13	1	0.06	attraction	0.2367	0.0736	1.2488
good	butter	29	2	1	0.06	attraction	0.0333	0.469	1.1995
smooth	glass	21	3	1	0.07	attraction	0.0454	0.3111	1.1665
alluring	day	1	62	1	0.07	attraction	0.9324	0.0161	1.1638
strong	fuck	10	40	2	0.44	attraction	0.1575	0.0407	1.1635
bright	gold	4	16	1	0.07	attraction	0.2333	0.0591	1.1608
skinny	heck	2	32	1	0.07	attraction	0.4656	0.0301	1.1575
strong	hell	10	328	1	3.63	repulsion	-0.2658	-0.0126	1.1383
hot	fuck	23	40	3	1.02	attraction	0.0884	0.0519	1.114
old	shit	72	13	3	1.04	attraction	0.0296	0.1533	1.1099
old	advertising	72	1	1	0.08	attraction	0.0139	0.9214	1.0988
old	baseball itself	72	1	1	0.08	attraction	0.0139	0.9214	1.0988
old	celebrity	72	1	1	0.08	attraction	0.0139	0.9214	1.0988
old	civilization	72	1	1	0.08	attraction	0.0139	0.9214	1.0988
old	communication	72	1	1	0.08	attraction	0.0139	0.9214	1.0988
old	government itself	72	1	1	0.08	attraction	0.0139	0.9214	1.0988
old	humankind	72	1	1	0.08	attraction	0.0139	0.9214	1.0988
old	humankind itself	72	1	1	0.08	attraction	0.0139	0.9214	1.0988
old	imagination	72	1	1	0.08	attraction	0.0139	0.9214	1.0988
old	infield dirt	72	1	1	0.08	attraction	0.0139	0.9214	1.0988
old	intelligence operations themselves	72	1	1	0.08	attraction	0.0139	0.9214	1.0988
old	language	72	1	1	0.08	attraction	0.0139	0.9214	1.0988
old	man	72	1	1	0.08	attraction	0.0139	0.9214	1.0988
old	nation	72	1	1	0.08	attraction	0.0139	0.9214	1.0988
old	power hierarchy itself	72	1	1	0.08	attraction	0.0139	0.9214	1.0988
old	preseason practice itself	72	1	1	0.08	attraction	0.0139	0.9214	1.0988
old	reality tv itself	72	1	1	0.08	attraction	0.0139	0.9214	1.0988
old	slavery	72	1	1	0.08	attraction	0.0139	0.9214	1.0988
old	slavery ad jim crow	72	1	1	0.08	attraction	0.0139	0.9214	1.0988
old	speculation	72	1	1	0.08	attraction	0.0139	0.9214	1.0988
old	storytelling itself	72	1	1	0.08	attraction	0.0139	0.9214	1.0988
old	trade itself	72	1	1	0.08	attraction	0.0139	0.9214	1.0988
old	video itself	72	1	1	0.08	attraction	0.0139	0.9214	1.0988
old	violence	72	1	1	0.08	attraction	0.0139	0.9214	1.0988
clear	sun	73	1	1	0.08	attraction	0.0137	0.9203	1.0928
