words1	words2	freq.w1	freq.w2	obs.w1_2.in_c	exp.w1_2.in_c	relation	delta.p.constr.to.word	delta.p.word.to.constr	coll.strength
bleak	hell	1	328	1	0.36	attraction	0.6379	0.003	0.4403
bogus	hell	1	328	1	0.36	attraction	0.6379	0.003	0.4403
brutal	hell	1	328	1	0.36	attraction	0.6379	0.003	0.4403
cheesy	hell	1	328	1	0.36	attraction	0.6379	0.003	0.4403
chewy	hell	1	328	1	0.36	attraction	0.6379	0.003	0.4403
classy	hell	1	328	1	0.36	attraction	0.6379	0.003	0.4403
clever	hell	1	328	1	0.36	attraction	0.6379	0.003	0.4403
clueless	hell	1	328	1	0.36	attraction	0.6379	0.003	0.4403
cocky	hell	1	328	1	0.36	attraction	0.6379	0.003	0.4403
compelling	hell	1	328	1	0.36	attraction	0.6379	0.003	0.4403
confident	hell	1	328	1	0.36	attraction	0.6379	0.003	0.4403
corny	hell	1	328	1	0.36	attraction	0.6379	0.003	0.4403
cruel	hell	1	328	1	0.36	attraction	0.6379	0.003	0.4403
difficult	hell	1	328	1	0.36	attraction	0.6379	0.003	0.4403
dramatic	hell	1	328	1	0.36	attraction	0.6379	0.003	0.4403
engaging	hell	1	328	1	0.36	attraction	0.6379	0.003	0.4403
evil	hell	1	328	1	0.36	attraction	0.6379	0.003	0.4403
excited	hell	1	328	1	0.36	attraction	0.6379	0.003	0.4403
funky	hell	1	328	1	0.36	attraction	0.6379	0.003	0.4403
gleeful	hell	1	328	1	0.36	attraction	0.6379	0.003	0.4403
glowy	hell	1	328	1	0.36	attraction	0.6379	0.003	0.4403
goofy	hell	1	328	1	0.36	attraction	0.6379	0.003	0.4403
gory	hell	1	328	1	0.36	attraction	0.6379	0.003	0.4403
grumpy	hell	1	328	1	0.36	attraction	0.6379	0.003	0.4403
handy	hell	1	328	1	0.36	attraction	0.6379	0.003	0.4403
hearty	hell	1	328	1	0.36	attraction	0.6379	0.003	0.4403
hip	hell	1	328	1	0.36	attraction	0.6379	0.003	0.4403
immersive	hell	1	328	1	0.36	attraction	0.6379	0.003	0.4403
impressive	hell	1	328	1	0.36	attraction	0.6379	0.003	0.4403
interesting	hell	1	328	1	0.36	attraction	0.6379	0.003	0.4403
intimidating	hell	1	328	1	0.36	attraction	0.6379	0.003	0.4403
intriguing	hell	1	328	1	0.36	attraction	0.6379	0.003	0.4403
macabre	hell	1	328	1	0.36	attraction	0.6379	0.003	0.4403
marketable	hell	1	328	1	0.36	attraction	0.6379	0.003	0.4403
mediocre	hell	1	328	1	0.36	attraction	0.6379	0.003	0.4403
nasty	hell	1	328	1	0.36	attraction	0.6379	0.003	0.4403
noisy	hell	1	328	1	0.36	attraction	0.6379	0.003	0.4403
oblivious	hell	1	328	1	0.36	attraction	0.6379	0.003	0.4403
odd	hell	1	328	1	0.36	attraction	0.6379	0.003	0.4403
passionate	hell	1	328	1	0.36	attraction	0.6379	0.003	0.4403
pesky	hell	1	328	1	0.36	attraction	0.6379	0.003	0.4403
petty	hell	1	328	1	0.36	attraction	0.6379	0.003	0.4403
practical	hell	1	328	1	0.36	attraction	0.6379	0.003	0.4403
pushy	hell	1	328	1	0.36	attraction	0.6379	0.003	0.4403
ready	hell	1	328	1	0.36	attraction	0.6379	0.003	0.4403
restless	hell	1	328	1	0.36	attraction	0.6379	0.003	0.4403
rocky	hell	1	328	1	0.36	attraction	0.6379	0.003	0.4403
rude	hell	1	328	1	0.36	attraction	0.6379	0.003	0.4403
sassy	hell	1	328	1	0.36	attraction	0.6379	0.003	0.4403
scary and creepy	hell	1	328	1	0.36	attraction	0.6379	0.003	0.4403
serious	hell	1	328	1	0.36	attraction	0.6379	0.003	0.4403
sharp	hell	1	328	1	0.36	attraction	0.6379	0.003	0.4403
skimpy	hell	1	328	1	0.36	attraction	0.6379	0.003	0.4403
sleepy	hell	1	328	1	0.36	attraction	0.6379	0.003	0.4403
spiffy	hell	1	328	1	0.36	attraction	0.6379	0.003	0.4403
stiff	hell	1	328	1	0.36	attraction	0.6379	0.003	0.4403
tasty	hell	1	328	1	0.36	attraction	0.6379	0.003	0.4403
touchy	hell	1	328	1	0.36	attraction	0.6379	0.003	0.4403
toxic	hell	1	328	1	0.36	attraction	0.6379	0.003	0.4403
transgressive	hell	1	328	1	0.36	attraction	0.6379	0.003	0.4403
tricky	hell	1	328	1	0.36	attraction	0.6379	0.003	0.4403
vague	hell	1	328	1	0.36	attraction	0.6379	0.003	0.4403
witty	hell	1	328	1	0.36	attraction	0.6379	0.003	0.4403
wonky	hell	1	328	1	0.36	attraction	0.6379	0.003	0.4403
wrong	hell	1	328	1	0.36	attraction	0.6379	0.003	0.4403
young	hell	1	328	1	0.36	attraction	0.6379	0.003	0.4403
dark	hell	5	328	1	1.81	repulsion	-0.1637	-0.0039	0.3941
scary	fuck	12	40	1	0.53	attraction	0.0396	0.0123	0.3757
hard	hell	9	328	4	3.27	attraction	0.0824	0.0035	0.3734
thick	fuck	13	40	1	0.58	attraction	0.0332	0.0111	0.3497
high	hell	4	328	2	1.45	attraction	0.1378	0.0026	0.3374
sexy	hell	4	328	2	1.45	attraction	0.1378	0.0026	0.3374
mad	day	25	62	1	1.71	repulsion	-0.0294	-0.0124	0.3206
cute	hell	10	328	3	3.63	repulsion	-0.0635	-0.003	0.3199
sure	fuck	37	40	1	1.64	repulsion	-0.018	-0.0167	0.2973
bright	hell	4	328	1	1.45	repulsion	-0.1133	-0.0022	0.2675
lazy	hell	4	328	1	1.45	repulsion	-0.1133	-0.0022	0.2675
weak	hell	4	328	1	1.45	repulsion	-0.1133	-0.0022	0.2675
hot	heck	23	32	1	0.81	attraction	0.0083	0.006	0.2456
addictive	hell	2	328	1	0.73	attraction	0.1375	0.0013	0.226
clean	hell	2	328	1	0.73	attraction	0.1375	0.0013	0.226
exciting	hell	2	328	1	0.73	attraction	0.1375	0.0013	0.226
expensive	hell	2	328	1	0.73	attraction	0.1375	0.0013	0.226
fake	hell	2	328	1	0.73	attraction	0.1375	0.0013	0.226
nice	hell	2	328	1	0.73	attraction	0.1375	0.0013	0.226
sloppy	hell	2	328	1	0.73	attraction	0.1375	0.0013	0.226
mad	heck	25	32	1	0.88	attraction	0.0047	0.0037	0.2227
sure	time	37	33	1	1.35	repulsion	-0.0099	-0.011	0.2187
clear	ice	73	12	1	0.97	attraction	0.0005	0.0026	0.195
complex	hell	3	328	1	1.09	repulsion	-0.0296	-0.0004	0.1544
real	hell	3	328	1	1.09	repulsion	-0.0296	-0.0004	0.1544
sad	hell	3	328	1	1.09	repulsion	-0.0296	-0.0004	0.1544
spooky	hell	3	328	1	1.09	repulsion	-0.0296	-0.0004	0.1544
tight	hell	3	328	1	1.09	repulsion	-0.0296	-0.0004	0.1544
ugly	hell	3	328	1	1.09	repulsion	-0.0296	-0.0004	0.1544
good	time	29	33	1	1.06	repulsion	-0.0021	-0.0018	0.1465
funny	fuck	23	40	1	1.02	repulsion	-0.0008	-0.0005	0.1371
